testname,event,treatment,start,load,style.load,idle,features_number
(index):308 LayerVSMatch,idle,T2-Ls,3544.4000000059605,3308.2999999821186,909.6999999880791,3308.4000000059605,10000
(index):308 LayerVSMatch,idle,T3-Ls,607.5999999940395,8267.59999999404,1276.0999999940395,8270.199999988079,10000
(index):308 LayerVSMatch,idle,T2-Ls2,2850.5,4522.300000011921,2189.699999988079,4790.699999988079,10000
(index):308 LayerVSMatch,idle,T1-Pt,520.3000000119209,22722.19999998808,1930.2999999821186,22724.69999998808,10000
(index):308 LayerVSMatch,idle,T2-Ls,4450.199999988079,2315,386.19999998807907,2550.4000000059605,10000
(index):308 LayerVSMatch,idle,T2-Pt,593.3000000119209,1983.7999999821186,445.5,1983.8999999761581,10000
(index):308 LayerVSMatch,idle,T1-Ls,606.2000000178814,22577.09999999404,1410.199999988079,22579.79999998212,10000
(index):308 LayerVSMatch,idle,T3-Pt,2475.699999988079,9435.600000023842,2533,9437.300000011921,10000
(index):308 LayerVSMatch,idle,T1-Pt,2087.9000000059605,25551.09999999404,3209.9000000059605,25553.09999999404,10000
(index):308 LayerVSMatch,idle,T2-Ls,4357.899999976158,6044.4000000059605,3601.800000011921,6044.5,10000
(index):308 LayerVSMatch,idle,T2-Pt,590.5,2238.2000000178814,416.09999999403954,2362.5999999940395,10000
(index):308 LayerVSMatch,idle,T2-Ls,596,2767,699.7999999821186,2830.5999999940395,10000
(index):308 LayerVSMatch,idle,T2-Ls,592.4000000059605,1795.0999999940395,345.69999998807907,1795.199999988079,10000
(index):308 LayerVSMatch,idle,T3-Pt,592.1999999880791,8604.800000011921,1084.5,8606.90000000596,10000
(index):308 LayerVSMatch,idle,T2-Pt,4407.9000000059605,4251.5999999940395,2351.899999976158,4251.799999982119,10000
LayerVSMatch,idle,T3-Ls,520.0999999940395,12216.600000023842,1554.800000011921,12218.800000011921,10000
(index):308 LayerVSMatch,idle,T1-Ls,4118.4000000059605,20654.5,1975.4000000059605,20655.30000001192,10000
(index):308 LayerVSMatch,idle,T2-Pt,1139.300000011921,3129.0999999940395,1451.5,3397.0999999940395,10000
(index):308 LayerVSMatch,idle,T2-Pt,466.09999999403954,1634.4000000059605,246.30000001192093,1700.9000000059605,10000
(index):308 LayerVSMatch,idle,T1-Pt,598.1999999880791,15604.700000017881,1370.5,15605.700000017881,10000
(index):308 LayerVSMatch,idle,T2-Pt,2840.0999999940395,3226.300000011921,1419.4000000059605,3226.4000000059605,10000
(index):308 LayerVSMatch,idle,T1-Pt,589.8000000119209,17832.59999999404,1676.9000000059605,17833.69999998808,10000
(index):308 LayerVSMatch,idle,T1-Ls,1276,25847.600000023842,2842,25850.40000000596,10000
(index):308 LayerVSMatch,idle,T3-Ls,2461,12973.09999999404,2904.9000000059605,12975.59999999404,10000
(index):308 LayerVSMatch,idle,T2-Pt,2761.4000000059605,2246.7999999821186,441.5,2327.199999988079,10000
(index):308 LayerVSMatch,idle,T2-Pt,522,2091.5999999940395,371.7999999821186,2091.7999999821186,10000
(index):308 LayerVSMatch,idle,T3-Ls,602.5999999940395,12477.5,1575.800000011921,12479.600000023842,10000
(index):308 LayerVSMatch,idle,T2-Ls2,1404.5,3972.5999999940395,1698.5,3972.699999988079,10000
(index):308 LayerVSMatch,idle,T3-Ls,532,7723.600000023842,1121.1000000238419,7725.100000023842,10000
(index):308 LayerVSMatch,idle,T1-Ls,3308.2999999821186,20247,3040.2000000178814,20249.20000001788,10000
(index):308 LayerVSMatch,idle,T3-Ls,3827.5999999940395,9034.300000011921,1690.5,9040.09999999404,10000
(index):308 LayerVSMatch,idle,T3-Pt,2647.0999999940395,9518.700000017881,2954.300000011921,9519.90000000596,10000
(index):308 LayerVSMatch,idle,T1-Pt,3777.4000000059605,20962.40000000596,3616.9000000059605,20965.5,10000
